combo,k,dates,picks,edge,win,p
q_uptrend + q_stable + calm_vix,3,51,175.8235294117647,-0.334088801366889,45.09803921568628,0.137
at_support + q_stable + far_fomc,3,89,34.86516853932584,-0.3350791126925879,50.56179775280899,0.294
q_stable + calm_vix + market_up,3,51,176.0,-0.33687778474373864,45.09803921568628,0.127
q_uptrend + scared_vix + far_fomc,3,45,222.11111111111111,-0.35000584121484224,46.666666666666664,0.16
at_support + q_stable + market_up,3,91,30.692307692307693,-0.350480596737751,45.05494505494506,0.236
q_stable + calm_vix,2,51,176.0,-0.3569038036568077,45.09803921568628,0.1
q_stable + scared_vix,2,54,176.0,-0.38528544636646783,50.0,0.278
q_uptrend + q_stable,2,105,166.55238095238096,-0.38999262793111267,45.714285714285715,0.084
q_stable + far_fomc,2,91,176.0,-0.3919414063324537,46.15384615384615,0.048
q_stable,1,105,176.0,-0.3940710794829992,46.666666666666664,0.049
in_fvg + mom_bot30 + calm_vix,3,44,10.863636363636363,-0.3971073926126396,54.54545454545454,0.602
q_stable + market_up + far_fomc,3,83,176.0,-0.3978409432031023,46.98795180722892,0.077
q_uptrend + q_stable + market_up,3,93,173.4516129032258,-0.40003305481748896,46.236559139784944,0.064
q_uptrend + mom_bot30 + far_fomc,3,73,37.47945205479452,-0.40579751852401386,42.465753424657535,0.37
q_stable + market_up,2,93,176.0,-0.4069972708366727,48.38709677419355,0.056
in_fvg + q_lowvol + q_stable,3,61,10.032786885245901,-0.40996248355780457,47.540983606557376,0.381
q_uptrend + q_stable + scared_vix,3,54,157.7962962962963,-0.41085422036804387,51.85185185185185,0.29
at_support + mom_bot30 + market_up,3,93,51.494623655913976,-0.4145345590692881,40.86021505376344,0.171
q_uptrend + q_stable + far_fomc,3,91,168.78021978021977,-0.4405509746614934,47.25274725274725,0.042
q_stable + mom_bot30,2,66,14.015151515151516,-0.4434230734740798,48.484848484848484,0.381
q_stable + scared_vix + far_fomc,3,45,176.0,-0.4552489347581713,48.888888888888886,0.187
q_stable + scared_vix + market_up,3,42,176.0,-0.4722347435091414,50.0,0.222
q_stable + mom_bot30 + market_up,3,64,13.96875,-0.5137163596945277,48.4375,0.301
at_support + q_lowvol + q_uptrend,3,104,24.576923076923077,-0.5520523506098397,39.42307692307692,0.171
in_fvg + q_lowvol + far_fomc,3,64,13.734375,-0.5635485278788112,37.5,0.21
q_uptrend + mom_bot30 + scared_vix,3,31,28.225806451612904,-0.5915195976340003,48.38709677419355,0.488
at_support + q_lowvol + far_fomc,3,91,38.67032967032967,-0.6055220691658347,42.857142857142854,0.116
at_support + q_uptrend + mom_bot30,3,76,18.43421052631579,-0.6202378524685532,40.78947368421053,0.171
at_support + q_stable + calm_vix,3,49,25.367346938775512,-0.6288064681203904,44.89795918367347,0.079
at_support + q_lowvol + q_stable,3,99,20.77777777777778,-0.6291082882000758,45.45454545454545,0.122
at_support + q_lowvol + calm_vix,3,51,33.96078431372549,-0.6368303968840882,37.254901960784316,0.183
q_uptrend + q_stable + mom_bot30,3,59,13.830508474576272,-0.6422238225330896,47.45762711864407,0.241
q_stable + mom_bot30 + far_fomc,3,57,13.473684210526315,-0.6481819668926828,49.122807017543856,0.222
in_fvg + q_lowvol + scared_vix,3,38,15.947368421052632,-0.655498463602639,36.84210526315789,0.247
at_support + q_lowvol + market_up,3,93,37.0,-0.7063638228555569,44.086021505376344,0.071
at_support + q_lowvol,2,105,38.285714285714285,-0.7082374057694683,45.714285714285715,0.053
in_fvg + q_lowvol + market_up,3,68,12.867647058823529,-0.7392198028016128,36.76470588235294,0.1
q_lowvol + q_stable + calm_vix,3,51,79.07843137254902,-0.7498601014247585,45.09803921568628,0.077
in_fvg + q_lowvol,2,74,13.31081081081081,-0.7635537508168977,36.486486486486484,0.077
at_support + q_lowvol + scared_vix,3,54,42.370370370370374,-0.771275268469902,48.148148148148145,0.163
q_lowvol + q_uptrend + calm_vix,3,51,102.37254901960785,-0.7740222762901787,43.13725490196079,0.064
q_lowvol + scared_vix + far_fomc,3,45,115.0,-0.7934262115677975,48.888888888888886,0.155
q_lowvol + calm_vix,2,51,115.0,-0.8146007257434869,41.17647058823529,0.033
q_lowvol + calm_vix + market_up,3,51,115.0,-0.8187783106782716,41.17647058823529,0.041
at_support + in_fvg + mom_bot30,3,50,8.46,-0.8356367892126672,44.0,0.385
q_lowvol + far_fomc,2,91,115.0,-0.8448700593077322,42.857142857142854,0.012
q_lowvol + q_stable + far_fomc,3,91,79.64835164835165,-0.8478666791829707,48.35164835164835,0.02
q_stable + mom_bot30 + scared_vix,3,30,13.433333333333334,-0.8624671800919266,40.0,0.356
q_lowvol + q_stable,2,105,80.23809523809524,-0.8873830801075754,46.666666666666664,0.007
q_lowvol + q_uptrend + far_fomc,3,91,93.38461538461539,-0.8942027881244992,45.05494505494506,0.016
q_lowvol + market_up + far_fomc,3,83,115.0,-0.9002432372368171,40.963855421686745,0.016
q_lowvol + q_uptrend + q_stable,3,105,74.8952380952381,-0.9078889614748907,47.61904761904761,0.011
at_support + in_fvg + q_lowvol,3,28,8.107142857142858,-0.9091572690771306,50.0,0.251
q_lowvol,1,105,115.0,-0.9158876272211087,43.80952380952381,0.004
q_lowvol + calm_vix + far_fomc,3,46,115.0,-0.9276952880651997,39.130434782608695,0.03
q_lowvol + q_uptrend,2,105,92.11428571428571,-0.9337497572641638,45.714285714285715,0.007
