signal,top_n,trend_filter,vol_screen,regime,weight,dates,sel,ctrl,edge,win,worst,p
mom252_s21,20,above200,,spy_up,equal,93,4.437168672069404,3.625500421375437,0.8116682506939678,51.61290322580645,-12.250303311312036,
mom189,30,above50,,spy_up,equal,93,4.413696345199631,3.6045080590398437,0.8091882861597901,64.51612903225806,-11.415856051178668,
blend,20,above200,,spy_up,invvol,93,4.413006522649402,3.625500421375437,0.7875061012739646,62.365591397849464,-9.20331442218473,
blend,20,,,spy_up,invvol,93,4.413006522649402,3.625500421375437,0.7875061012739646,62.365591397849464,-9.20331442218473,
mom189,50,,,spy_up,equal,93,4.427946220881268,3.64115909852316,0.7867871223581069,61.29032258064516,-12.359466325751715,
mom126,50,above200,,,equal,104,4.838238090297307,4.052861726758901,0.7853763635384052,59.61538461538461,-12.738934450153222,
mom63,50,above200,,,equal,104,4.827405699499914,4.052861726758901,0.7745439727410144,63.46153846153846,-6.158817728332862,
mom252,20,,,spy_up,equal,93,4.396169018480559,3.625500421375437,0.7706685971051217,56.98924731182796,-12.38686508523557,
mom126_s21,50,,,,equal,105,5.002618354016051,4.234273954656367,0.7683443993596831,60.0,-10.410854862453478,
mom189,50,above200,,spy_up,equal,93,4.409457659044535,3.64115909852316,0.7682985605213745,61.29032258064516,-12.359466325751715,
mom63,50,,,,equal,105,4.997482426150996,4.234273954656367,0.7632084714946282,62.857142857142854,-5.902953797164848,
blend,30,above50,,spy_up,equal,93,4.365693002932789,3.6045080590398437,0.7611849438929442,66.66666666666666,-7.936624320107481,
mom252,20,,,,equal,105,4.969520565562211,4.224185323906812,0.7453352416553983,56.19047619047619,-12.38686508523557,
mom63,30,above200,,spy_up,invvol,93,4.3470760736919285,3.6045080590398437,0.742568014652085,62.365591397849464,-7.786280387819422,
mom126,30,,,spy_up,invvol,93,4.342702863884902,3.6045080590398437,0.7381948048450568,60.215053763440864,-12.973145302944406,
mom252,20,above200,,spy_up,equal,93,4.363095561114411,3.625500421375437,0.7375951397389735,56.98924731182796,-12.38686508523557,
mom63,30,,,spy_up,invvol,93,4.327938093591514,3.6045080590398437,0.7234300345516692,60.215053763440864,-7.786280387819422,
mom189,30,above50,,,equal,103,4.788219710737283,4.065137123289002,0.7230825874482819,63.10679611650486,-11.415856051178668,
mom252_s21,20,above200,,,equal,105,4.939532222451082,4.224185323906812,0.7153468985442706,50.476190476190474,-12.250303311312036,
mom252,10,above50,,,invvol,105,4.950692534638478,4.236315033867098,0.7143775007713808,54.285714285714285,-15.59050148381726,
mom189,50,,,,equal,105,4.9470170534082785,4.234273954656367,0.7127430987519114,59.04761904761905,-12.359466325751715,
mom252_s21,10,above50,,,invvol,105,4.926797889000995,4.236315033867098,0.6904828551338974,60.952380952380956,-17.645110270595644,
mom126,30,above200,,spy_up,invvol,93,4.293003241875417,3.6045080590398437,0.6884951828355723,59.13978494623656,-12.973145302944406,
mom126_s21,50,above200,,,equal,104,4.739897660179764,4.052861726758901,0.6870359334208641,58.65384615384615,-10.925506008081182,
mom189,50,above200,,,equal,104,4.737189652305,4.052861726758901,0.6843279255460998,59.61538461538461,-12.359466325751715,
mom252_s21,10,above50,,spy_up,invvol,93,4.300350811188076,3.634754009647757,0.665596801540319,62.365591397849464,-17.645110270595644,
mom126,30,,,,invvol,105,4.8539794776087986,4.197725115970058,0.6562543616387388,59.04761904761905,-12.973145302944406,
mom63,30,above200,,,invvol,105,4.850085371788867,4.197725115970058,0.6523602558188084,61.904761904761905,-7.786280387819422,
blend,20,,,,invvol,105,4.868588918654376,4.224185323906812,0.6444035947475639,60.952380952380956,-9.81061991352899,
blend,20,above200,,,invvol,105,4.868588918654376,4.224185323906812,0.6444035947475639,60.952380952380956,-9.81061991352899,
mom252,20,above200,,,equal,105,4.866631161373696,4.224185323906812,0.6424458374668836,54.285714285714285,-12.38686508523557,
mom63,30,,,,invvol,105,4.832139319923027,4.197725115970058,0.6344142039529691,60.0,-7.786280387819422,
mom252,10,above50,,spy_up,invvol,93,4.261200809980107,3.634754009647757,0.6264468003323501,54.83870967741935,-15.59050148381726,
mom126_s21,30,,,spy_up,invvol,93,4.227296546964766,3.6045080590398437,0.6227884879249215,61.29032258064516,-12.634036433456064,
mom126_s21,30,above200,,spy_up,invvol,93,4.224350273979292,3.6045080590398437,0.6198422149394471,59.13978494623656,-12.634036433456064,
mom126,50,above50,,spy_up,equal,93,4.257013786293324,3.64115909852316,0.615854687770164,64.51612903225806,-10.851306267688047,
mom126_s21,20,above50,,spy_up,invvol,93,4.238442334798501,3.625500421375437,0.6129419134230634,56.98924731182796,-13.704549442259545,
mom189,30,above200,,spy_up,invvol,93,4.2114491429218175,3.6045080590398437,0.6069410838819735,61.29032258064516,-13.361156887158495,
mom63,50,above50,,spy_up,equal,93,4.241257427594069,3.64115909852316,0.6000983290709081,59.13978494623656,-7.362576251108166,
mom126,30,above50,,spy_up,invvol,93,4.203847367034645,3.6045080590398437,0.5993393079948012,61.29032258064516,-12.141456568577738,
mom189,30,,,spy_up,invvol,93,4.200043945163945,3.6045080590398437,0.5955358861241017,61.29032258064516,-13.361156887158495,
mom126,30,above200,,,invvol,105,4.787966197352605,4.197725115970058,0.5902410813825467,57.14285714285714,-12.973145302944406,
mom189,20,above50,,spy_up,invvol,93,4.215417363592753,3.625500421375437,0.5899169422173153,61.29032258064516,-13.422508803230013,
blend,30,above50,,,equal,103,4.650603369524322,4.065137123289002,0.5854662462353192,64.07766990291263,-8.591597824012236,
mom63,30,above50,,spy_up,invvol,93,4.163037453701297,3.6045080590398437,0.5585293946614537,60.215053763440864,-7.730915836785279,
mom126_s21,30,above50,,spy_up,invvol,93,4.1491170915010205,3.6045080590398437,0.5446090324611769,60.215053763440864,-11.47033298549835,
mom126,50,above50,,,equal,103,4.632946641093039,4.097798591582213,0.5351480495108257,63.10679611650486,-10.851306267688047,
blend,20,above50,,spy_up,invvol,93,4.155378370230673,3.625500421375437,0.529877948855235,61.29032258064516,-9.20331442218473,
mom126,30,above50,,,invvol,103,4.589793793759657,4.065137123289002,0.5246566704706569,60.19417475728155,-12.141456568577738,
mom63,50,above50,,,equal,103,4.610409135242986,4.097798591582213,0.5126105436607725,57.28155339805825,-7.362576251108166,
mom126_s21,30,,,,invvol,105,4.703566795940741,4.197725115970058,0.5058416799706821,58.0952380952381,-12.634036433456064,
mom252,20,above50,,spy_up,equal,93,4.13069272377714,3.625500421375437,0.5051923024017023,58.06451612903226,-12.7669553787405,
mom189,30,,,,invvol,105,4.702256381070348,4.197725115970058,0.5045312651002897,58.0952380952381,-13.361156887158495,
mom189,30,above200,,,invvol,105,4.694050221075825,4.197725115970058,0.49632510510576494,58.0952380952381,-13.361156887158495,
mom252_s21,30,,,,equal,105,4.681423568057308,4.197725115970058,0.48369845208724943,55.23809523809524,-9.58648475888166,
mom252,30,,,,equal,105,4.679147493042747,4.197725115970058,0.4814223770726879,57.14285714285714,-10.94377893797583,
mom252,30,above200,,spy_up,equal,93,4.074218382937735,3.6045080590398437,0.4697103238978916,56.98924731182796,-10.94377893797583,
mom252,30,,,spy_up,equal,93,4.07140741189302,3.6045080590398437,0.4668993528531767,56.98924731182796,-10.94377893797583,
